OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,Total HH with broadband,tot percent with access,Households have a computer without internet access,tot percent without access,Total population in households,Population 18-64,pop 18-64 have a computer,percent 18-64 have computer,pop18-64 with broadband access,percent 18-64 with access,pop 18-64 without internet,percent 18-64 without access,pop over 65 with access,pop over 65 without access,percent over65 without access,Total pop of black,Black pop have a computer,Black pop with access,Black pop without access,percen black without access,American Indian total pop,Native American have a computer,American Indian pop with access,American Indian pop without access,Perc AA without access,Total Asian pop,Asian pop have a computer,Asian pop with access,Asian pop without internet access,perc Asian without access,Tot Hawaian pop,Hawaian pop have computer,Native Hawaian pop with access,Native Hawaian without access,perc Haw without access,Total white pop,White pop have computer,White pop with broadband access,White pop without access,perc white without access,Total Hispanic pop,All hispanic pop that have computer,Hispanic pop with broadband access,Hispanic pop without broadband access,perc Hispanic without access,Shape__Are,Shape__Len
13,01779784,17,Illinois,4884061,4468588,4131194,92.44965076,324265,7.256542783,12419358,7649969,7415101,96.92981762,6998912,94.38727807,406571,5.48301365,1421541,144554,10.16882383,1715221,1573802,1415472,156049,9.915415027,32918,31276,29364,1873,5.98861747,695800,684815,660352,23664,3.455531786,4993,4651,4523,124,2.666093313,7570901,7194941,6842505,332778,4.625166489,2160266,2073448,1916822,154687,7.460375182,2.49657E+11,2753800.709
14,00448508,18,Indiana,2602770,2350951,2144422,91.215087,197602,8.405194323,6507458,3929757,3758236,95.63532809,3502223,93.18794775,249375,6.635426833,738009,78916,10.69309453,604459,548178,490300,57521,10.4931245,13389,12186,10924,1198,9.830953553,150617,146592,139326,7129,4.863157608,2120,1922,1510,412,21.43600416,5114335,4792865,4472696,303909,6.340862929,465448,438506,397512,40548,9.24685181,1.59575E+11,2237151.525
15,01779785,19,Iowa,1273941,1151928,1049834,91.13711968,95728,8.310241612,3052458,1813603,1751141,96.55591659,1633971,93.308934,113654,6.490282621,365052,41225,11.29291169,108983,100336,89065,11116,11.07877531,9907,9095,8006,1071,11.77570093,77322,75619,70640,4789,6.333064441,3843,3386,3004,381,11.252215,2598133,2443876,2283211,150397,6.154035638,189338,179511,159959,19363,10.78652562,2.6481E+11,2526450.481
16,00481813,20,Kansas,1141985,1047658,956641,91.31233666,87834,8.383842819,2832911,1688084,1635788,96.9020499,1527221,93.36301526,106390,6.503899038,330021,34548,10.46842474,154729,141571,123517,17870,12.62264164,20776,19595,17747,1797,9.170706813,85576,84020,79876,4053,4.823851464,2245,2021,1605,416,20.58386937,2139048,2036806,1907556,123872,6.081678864,344010,327731,299367,28280,8.629028075,3.48444E+11,2570737.659
17,01779786,21,Kentucky,1748053,1547842,1410645,91.13624,132229,8.542797004,4330127,2620472,2487989,94.94430774,2313115,92.97127118,170554,6.855094617,488969,56280,11.50993212,340104,310875,282944,27653,8.895215119,7873,6603,5763,805,12.19142814,66748,64979,62000,2949,4.538389326,2905,2767,2203,543,19.62414167,3651441,3374881,3131413,234082,6.936007521,162820,154132,141955,12107,7.854955493,1.66706E+11,2749111.219
18,01629543,22,Louisiana,1751956,1543376,1367200,88.585024,172589,11.18256342,4535225,2743332,2580850,94.07720247,2341026,90.70755759,236267,9.154619602,479331,64969,13.55409936,1439754,1270795,1094039,174703,13.74753599,25296,23495,20969,2526,10.75122366,79534,77617,74182,3367,4.337967198,1724,1576,1540,36,2.284263959,2664651,2507000,2320426,181472,7.238611887,234618,218034,192132,25549,11.71789721,1.67051E+11,4686754.517
19,01779787,23,Maine,569551,518583,476513,91.88750885,38424,7.409421443,1304478,787709,761945,96.729249,715075,93.84863737,44047,5.780863448,203088,18836,9.274797132,17045,16096,14447,1649,10.24478131,8676,8156,7227,918,11.25551741,14014,13466,12894,556,4.128917273,188,145,140,5,3.448275862,1211649,1144670,1070324,67955,5.936645496,21842,20987,20240,689,3.282984705,1.72097E+11,5114707.648
20,01714934,24,Maryland,2230527,2088686,1959856,93.8320073,124146,5.943736876,5897417,3656975,3570998,97.6489585,3404592,95.3400702,162633,4.554273063,721028,59442,8.244062644,1744917,1665509,1551630,111091,6.670093047,15303,14125,12874,1173,8.304424779,378856,374800,364599,9853,2.62886873,2485,2344,1868,476,20.30716724,2963940,2847608,2742126,99833,3.505854738,611368,593717,542526,50637,8.528810864,44232676511,3720640.104
21,00606926,25,Massachusetts,2646980,2450583,2315060,94.46976495,130320,5.317918226,6624698,4172176,4072652,97.6145781,3913237,96.08572007,156207,3.835510621,862556,64340,7.459225836,488134,463292,429712,33264,7.179921086,13364,12525,11600,920,7.345309381,442904,432897,419363,13141,3.035595072,2560,2501,2361,127,5.077968812,4698389,4499654,4341083,150565,3.34614617,801647,760068,696101,63646,8.373724456,38763548995,2249853.947
22,01779789,26,Michigan,3980408,3625797,3324898,91.70116253,288849,7.966496745,9748164,5927823,5720070,96.49529009,5355378,93.62434376,355469,6.214416956,1244342,127380,10.23673556,1305329,1193219,1043313,147786,12.38548833,48307,44520,40862,3538,7.946990117,308824,304481,290163,14228,4.672869572,3045,2783,2149,623,22.38591448,7286180,6905419,6511952,374576,5.424377579,509039,484660,443325,40272,8.309330252,2.95716E+11,7554122.961
