OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,HH with dial up access,Total HH with broadband,Households have a computer without internet access,HH have not computer,Percent of HH have not computer,Total population in households,Population 18-64,pop 18-64 have a computer,pop18-64 with dialup access,pop18-64 with broadband access,pop 18-64 without internet,pop18-64 that have no computer,B28005__24,B28005_016,B28005__25,pop over 65 with access,pop over 65 without access,Total pop of black,Black pop have a computer,Black pop with access,Black pop without access,American Indian total pop,Native American have a computer,American Indian pop with access,American Indian pop without access,Total Asian pop,Asian pop have a computer,Asian pop with access,Asian pop without internet access,Tot Hawaian pop,Hawaian pop have computer,Native Hawaian pop with access,Native Hawaian without access,Total other race pop,Total white pop,White pop have computer,White pop with broadband access,White pop without access,Total Hispanic pop,All hispanic pop that have computer,Hispanic pop with broadband access,Hispanic pop without broadband access,Shape__Are,Shape__Len
16,00481813,20,Kansas,1141985,1047658,3183,956641,87834,94327,8.3,2832911,1688084,1635788,2177,1527221,106390,52296,1720,3352,349,330021,34548,154729,141571,123517,17870,20776,19595,17747,1797,85576,84020,79876,4053,2245,2021,1605,416,77967,2139048,2036806,1907556,123872,344010,327731,299367,28280,3.48444E+11,2570737.659
17,01779786,21,Kentucky,1748053,1547842,4968,1410645,132229,200211,11.5,4330127,2620472,2487989,4320,2313115,170554,132483,3078,4377,492,488969,56280,340104,310875,282944,27653,7873,6603,5763,805,66748,64979,62000,2949,2905,2767,2203,543,46957,3651441,3374881,3131413,234082,162820,154132,141955,12107,1.66706E+11,2749111.219
18,01629543,22,Louisiana,1751956,1543376,3587,1367200,172589,208580,11.9,4535225,2743332,2580850,3557,2341026,236267,162482,3070,3219,706,479331,64969,1439754,1270795,1094039,174703,25296,23495,20969,2526,79534,77617,74182,3367,1724,1576,1540,36,70129,2664651,2507000,2320426,181472,234618,218034,192132,25549,1.67051E+11,4686754.517
19,01779787,23,Maine,569551,518583,3646,476513,38424,50968,8.9,1304478,787709,761945,2823,715075,44047,25764,1484,3389,422,203088,18836,17045,16096,14447,1649,8676,8156,7227,918,14014,13466,12894,556,188,145,140,5,4676,1211649,1144670,1070324,67955,21842,20987,20240,689,1.72097E+11,5114707.648
20,01714934,24,Maryland,2230527,2088686,4684,1959856,124146,141841,6.4,5897417,3656975,3570998,3773,3404592,162633,85977,2666,4700,516,721028,59442,1744917,1665509,1551630,111091,15303,14125,12874,1173,378856,374800,364599,9853,2485,2344,1868,476,283738,2963940,2847608,2742126,99833,611368,593717,542526,50637,44232676511,3720640.104
21,00606926,25,Massachusetts,2646980,2450583,5203,2315060,130320,196397,7.4,6624698,4172176,4072652,3208,3913237,156207,99524,3215,5445,520,862556,64340,488134,463292,429712,33264,13364,12525,11600,920,442904,432897,419363,13141,2560,2501,2361,127,278790,4698389,4499654,4341083,150565,801647,760068,696101,63646,38763548995,2249853.947
22,01779789,26,Michigan,3980408,3625797,12050,3324898,288849,354611,8.9,9748164,5927823,5720070,9223,5355378,355469,207753,3845,11050,717,1244342,127380,1305329,1193219,1043313,147786,48307,44520,40862,3538,308824,304481,290163,14228,3045,2783,2149,623,130246,7286180,6905419,6511952,374576,509039,484660,443325,40272,2.95716E+11,7554122.961
23,00662849,27,Minnesota,2207988,2046817,9131,1906917,130769,161171,7.3,5469548,3321268,3248857,5675,3094759,148423,72411,2531,9394,607,641939,63556,344158,329437,303650,25334,51186,46236,40513,5624,270285,265287,252262,12600,2072,1800,1509,262,117460,4325461,4137535,3938435,184781,301526,292458,268155,23515,4.58777E+11,4556808.431
24,01779790,28,Mississippi,1116649,965947,3047,835084,127816,150702,13.5,2887405,1725085,1609619,3707,1423142,182770,115466,2536,2232,382,291664,50045,1079285,946696,802154,142577,13468,11267,10072,1195,29039,27841,26455,1386,1070,930,695,235,32307,1637873,1526114,1375589,145132,89610,84060,73708,10340,1.75182E+11,3043117.552
25,01779791,29,Missouri,2440212,2213727,7546,2009953,196228,226485,9.3,5951584,3584421,3445407,4683,3197728,242996,139014,3716,8399,717,720191,83925,665504,606374,546308,59571,23078,21025,18434,2560,120109,117710,110344,7104,8551,7127,5597,1530,75399,4702157,4428755,4109397,306785,255716,242496,219631,22655,2.94363E+11,3049353.552
26,00767982,30,Montana,436048,394771,3058,359891,31822,41277,9.5,1032820,613178,587962,3000,549011,35951,25216,1376,2275,297,143230,14721,5401,5040,4813,221,63166,53320,46824,5914,8393,8100,7427,667,516,503,438,65,7735,885371,835614,779014,51288,39815,37662,35325,2215,8.20189E+11,4615631.94
27,01779792,31,Nebraska,766663,701638,3297,651056,47285,65025,8.5,1872618,1109268,1076766,2684,1020919,53163,32502,1465,3073,394,212641,21031,87101,80571,73453,6950,16066,14956,12870,2058,46610,45767,42791,2758,1142,1044,975,69,47323,1468612,1397750,1327831,64683,210617,198256,182924,14588,3.57864E+11,2922193.565
28,01779793,32,Nevada,1130011,1058007,2520,959333,96154,72004,6.4,2992756,1834357,1780388,1744,1642225,136419,53969,2531,2453,416,378049,37596,274386,257368,226417,30365,36836,33920,29177,4689,251112,244274,230773,13377,21047,20322,18454,1833,323623,1442632,1384389,1301404,80009,867619,832617,740482,91016,4.80297E+11,3054888.427
29,01779794,33,New Hampshire,539116,505000,1930,475406,27664,34116,6.3,1313821,820708,804020,1367,770062,32591,16688,1350,1889,355,192545,13069,18429,17887,17007,874,2067,2025,1824,197,35158,34681,33201,1454,396,325,246,70,8150,1180540,1136032,1084787,47866,50165,49279,47026,2211,45992927408,1326311.33
30,01779795,34,New Jersey,3272054,3040126,7262,2851052,181812,231928,7.1,8702841,5356916,5238119,5313,4994917,237889,118797,2726,7472,801,1099587,87706,1137347,1071707,981742,88665,21832,20636,18694,1901,842862,832977,813996,18343,3071,2937,2828,109,558928,4770647,4572302,4395142,167198,1789286,1709886,1559764,147979,34541079197,1127260.145
31,00897535,35,New Mexico,792755,698146,3212,611142,83792,94609,11.9,2054102,1214057,1131442,3097,1007345,121000,82615,1938,2592,434,247954,35839,40288,37903,33836,3984,191844,145756,102600,41944,32968,32203,29554,2558,1822,1711,1631,80,179713,753424,716485,665882,46956,1011955,919500,807762,110086,4.64401E+11,2899904.952
32,01779796,36,New York,7417224,6754292,18682,6249957,485653,662932,8.9,18945673,11788689,11399636,15138,10748577,635921,389053,6177,17602,1206,2321389,220460,2855296,2667827,2427200,236652,74112,68105,59944,8037,1637776,1585411,1510650,72552,8908,8291,7727,550,1637014,10478371,9833084,9341555,465419,3627585,3438777,3135247,298820,2.3719E+11,3863561.361
33,01027616,37,North Carolina,4031592,3657447,9862,3332220,315365,374145,9.3,10106940,6165531,5923693,8591,5488646,426456,241838,4569,9701,836,1205777,128518,2132860,1945440,1735836,206386,116926,103809,83329,20207,301923,296623,284806,11652,6761,6593,5420,1166,330050,6348333,6010452,5632399,362794,969143,921632,823476,97011,1.94687E+11,4987549.915
34,01779797,38,North Dakota,320873,292964,719,263923,28322,27909,8.7,734984,447572,433974,268,399525,34181,13598,837,836,211,77070,9244,22790,21798,18221,3577,37817,33506,27740,5751,11622,11235,9950,1249,998,976,942,34,8548,615760,584340,544403,38879,28863,27826,23640,4181,4.00343E+11,3125333.997
35,01085497,39,Ohio,4717226,4276409,14425,3949300,312684,440817,9.3,11361029,6857332,6596338,10534,6223471,362333,260994,3540,13980,956,1415953,137250,1376470,1265639,1141661,122246,19530,17407,15658,1710,261249,256049,245158,10635,3796,3549,3011,529,127343,8921099,8390132,7939907,427102,448279,426505,389499,36431,1.83938E+11,2333282.933
36,01102857,40,Oklahoma,1493569,1352894,3582,1208754,140558,140675,9.4,3839604,2286084,2185895,3359,1996463,186073,100189,2719,3732,559,428001,60068,270686,245206,216444,28256,295993,270832,233348,36780,84897,82505,77487,4810,6281,4985,3939,1046,107180,2497626,2349205,2158182,185205,420554,400603,358942,40948,2.7442E+11,3307542.386
